2016-09-23 17:25:32 install hostname:amd64 <none> 3.15
2016-09-23 17:25:32 status half-installed hostname:amd64 3.15
2016-09-23 17:25:32 status unpacked hostname:amd64 3.15
2016-09-23 17:25:32 status unpacked hostname:amd64 3.15
2016-09-23 17:25:32 install init:amd64 <none> 1.22
2016-09-23 17:25:32 status half-installed init:amd64 1.22
2016-09-23 17:25:32 status unpacked init:amd64 1.22
2016-09-23 17:25:33 status unpacked init:amd64 1.22
2016-09-23 17:25:33 install insserv:amd64 <none> 1.14.0-5
2016-09-23 17:25:33 status half-installed insserv:amd64 1.14.0-5
2016-09-23 17:25:33 status unpacked insserv:amd64 1.14.0-5
2016-09-23 17:25:33 status unpacked insserv:amd64 1.14.0-5
2016-09-23 17:25:33 install libkmod2:amd64 <none> 18-3
2016-09-23 17:25:33 status half-installed libkmod2:amd64 18-3
2016-09-23 17:25:33 status unpacked libkmod2:amd64 18-3
2016-09-23 17:25:33 status unpacked libkmod2:amd64 18-3
2016-09-23 17:25:33 install libcap2:amd64 <none> 1:2.24-8
2016-09-23 17:25:33 status half-installed libcap2:amd64 1:2.24-8
2016-09-23 17:25:33 status unpacked libcap2:amd64 1:2.24-8
2016-09-23 17:25:33 status unpacked libcap2:amd64 1:2.24-8
2016-09-23 17:25:33 install libcap2-bin:amd64 <none> 1:2.24-8
2016-09-23 17:25:33 status half-installed libcap2-bin:amd64 1:2.24-8
2016-09-23 17:25:33 status unpacked libcap2-bin:amd64 1:2.24-8
2016-09-23 17:25:33 status unpacked libcap2-bin:amd64 1:2.24-8
2016-09-23 17:25:34 install libgcrypt20:amd64 <none> 1.6.3-2+deb8u2
2016-09-23 17:25:34 status half-installed libgcrypt20:amd64 1.6.3-2+deb8u2
2016-09-23 17:25:34 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2016-09-23 17:25:34 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2016-09-23 17:25:34 install libgpg-error0:amd64 <none> 1.17-3
2016-09-23 17:25:34 status half-installed libgpg-error0:amd64 1.17-3
2016-09-23 17:25:34 status unpacked libgpg-error0:amd64 1.17-3
2016-09-23 17:25:34 status unpacked libgpg-error0:amd64 1.17-3
2016-09-23 17:25:34 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
2016-09-23 17:25:34 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2016-09-23 17:25:34 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2016-09-23 17:25:34 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2016-09-23 17:25:34 install libselinux1:amd64 <none> 2.3-2
2016-09-23 17:25:34 status half-installed libselinux1:amd64 2.3-2
2016-09-23 17:25:35 status unpacked libselinux1:amd64 2.3-2
2016-09-23 17:25:35 status unpacked libselinux1:amd64 2.3-2
2016-09-23 17:25:35 install libsemanage-common:all <none> 2.3-1
2016-09-23 17:25:35 status half-installed libsemanage-common:all 2.3-1
2016-09-23 17:25:35 status unpacked libsemanage-common:all 2.3-1
2016-09-23 17:25:35 status unpacked libsemanage-common:all 2.3-1
2016-09-23 17:25:35 install libsemanage1:amd64 <none> 2.3-1+b1
2016-09-23 17:25:35 status half-installed libsemanage1:amd64 2.3-1+b1
2016-09-23 17:25:35 status unpacked libsemanage1:amd64 2.3-1+b1
2016-09-23 17:25:35 status unpacked libsemanage1:amd64 2.3-1+b1
2016-09-23 17:25:35 install libsepol1:amd64 <none> 2.3-2
2016-09-23 17:25:35 status half-installed libsepol1:amd64 2.3-2
2016-09-23 17:25:35 status unpacked libsepol1:amd64 2.3-2
2016-09-23 17:25:35 status unpacked libsepol1:amd64 2.3-2
2016-09-23 17:25:35 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2016-09-23 17:25:35 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
2016-09-23 17:25:36 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2016-09-23 17:25:36 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2016-09-23 17:25:36 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2016-09-23 17:25:36 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
